dataset_name	data_table	row_info_table	row_info_tab_sys_name_col	col_info_table	col_info_tab_sys_name_col	col_info_tab_genename_col	download_location	md5_checksum	description
SGA_DMA_array_no-supps_sig-only	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_DMA_array_no-supps_sig-only.tar.gz	45125789e671bc8705b470bc91970e53	S. cerevisiae genetic interaction data from the double mutant array only, filtered to exclude queries/arrays with known suppressor mutations and nonsignificant interactions. (This will be replaced by the "SGA_NE_array" dataset)
SGA_DMA_array_no-supps_sig-only_lightnet	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_DMA_array_no-supps_sig-only_light.tar.gz	54af17026023feda16d0e8f050649fc8	S. cerevisiae genetic interaction data from the double mutant array only, filtered to exclude queries/arrays with known suppressor mutations and nonsignificant interactions. (This will be replaced by the "SGA_NE_array_lightnet" dataset)
SGA_NE_array_lightnet	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_nonessential_array_no-supps_sig-only_light.tar.gz	b2f08598fa8db1d16209288e35050800	All S. cerevisiae SGA queries against nonessential genes (DMA), filtered to exclude query or array strains with known suppressor mutations, nonsignificant interactions, and "darknet" query genes.
SGA_NE_array	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	 http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_nonessential_array_no-supps_sig-only.tar.gz	2663a2a5f16b9dd794b642ece6d4ad0f	All S. cerevisiae SGA queries against nonessential genes (DMA), filtered to exclude query or array strains with known suppressor mutations and nonsignificant interactions.
SGA_NE_array+nonsig	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_nonessential_array_no-supps.tar.gz	a4b347564af41d46420f679b31e856ca	All S. cerevisiae SGA queries against nonessential genes (DMA), filtered to exclude query or array strains with known suppressor mutations.
SGA_NE_array+nonsig+supps	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_nonessential_array.tar.gz	c3b791de6c1ac6ac3d2eb8e096e0f5f1	All S. cerevisiae SGA queries against nonessential genes (DMA).
SGA_E_array_lightnet	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_essential_array_no-supps_sig-only_light.tar.gz	54fe07785e66de4e516b172ee8d4be78	All S. cerevisiae SGA queries against essential genes (TSA), filtered to exclude query or array strains with known suppressor mutations, nonsignificant interactions, and "darknet" query genes.
SGA_E_array	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_essential_array_no-supps_sig-only.tar.gz	deff75194a2e4036ddde74967770d9f5	All S. cerevisiae SGA queries against essential genes (TSA), filtered to exclude query or array strains with known suppressor mutations and nonsignificant interactions.
SGA_E_array+nonsig	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_essential_array_no-supps.tar.gz	432bff71f8ec36e55033ca482e5d6521	All S. cerevisiae SGA queries against essential genes (TSA), filtered to exclude query or array strains with known suppressor mutations.
SGA_E_array+nonsig+supps	epsilon_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/SGA_essential_array.tar.gz	03b796e5c7bd8d32df7dfeb9ab059e4f	All S. cerevisiae SGA queries against essential genes (TSA).
S-pombe_Frost_2012	S_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/S-pombe_Frost_2012.tar.gz	701e3ff8b7b9ec0ef9e0d26484d938e0	Data from Frost 2012 (Cell), imputed with SVDImpute (50 components). Query and Array sides are FLIPPED to play nicely with CG-TARGET.
S-pombe_Ryan_2012	S_data.txt.gz	array_info.txt	array_orf	query_info.txt	query_orf	query_genename	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/GI/S-pombe_Ryan_2012.tar.gz	d55542bda9cf1b93ea5540141c3140a5	Data from Ryan 2012 (Mol Cell), median-imputed. Query and Array sides are FLIPPED to play nicely with CG-TARGET.
